"last_name, first_name","player_id","year","hit","strikeout","walk","p_earned_run","p_save","p_blown_save","p_out","p_win","p_balk","p_quality_start","p_hit_by_pitch","p_hold","p_total_pickoff"
"Vodnik, Victor",680767,2024,72,65,37,"35","9","6","221","5","0","0","1","6","0"
"McCaughan, Darren",670766,2024,53,28,15,"29","2","0","126","0","0","0","6","1","1"
"Blackburn, Paul",621112,2024,76,59,21,"39","0","0","226","5","0","7","3","0","3"
"Muñoz, Andrés",662253,2024,31,77,26,"14","22","5","178","3","1","0","3","6","1"
"Toussaint, Touki",657053,2024,35,26,18,"19","0","0","69","1","0","0","1","1","1"
"Oller, Adam",670124,2024,43,36,22,"25","0","0","127","2","0","1","2","0","0"
"Lee, Dylan",669276,2024,49,76,17,"14","0","2","179","4","0","0","0","9","0"
"Lambert, Peter",663567,2024,73,50,29,"39","0","0","184","2","0","0","2","1","0"
"Scott, Tayler",605463,2024,45,71,35,"17","0","3","206","7","0","0","4","9","0"
"Mize, Casey",663554,2024,121,78,29,"51","0","0","307","2","1","6","2","0","0"
"Ruiz, José",614179,2024,51,52,17,"21","1","0","153","5","0","0","1","0","0"
"Payamps, Joel",606303,2024,39,59,18,"20","6","3","177","3","0","0","2","21","0"
"Detmers, Reid",672282,2024,98,109,38,"65","0","0","262","4","0","4","2","0","2"
"Chargois, JT",608638,2024,24,30,13,"9","0","2","109","3","0","0","2","2","0"
"Schwellenbach, Spencer",680885,2024,106,127,23,"46","0","0","371","8","0","12","6","0","0"
"Cease, Dylan",656302,2024,137,224,65,"73","0","0","568","14","0","16","2","0","0"
"Avila, Nick",687014,2024,17,14,3,"11","0","0","35","1","0","0","0","0","0"
"Hernández, Carlos",672578,2024,24,27,16,"11","0","1","90","0","0","0","1","1","0"
"Kershaw, Clayton",477132,2024,36,24,9,"15","0","0","90","2","1","1","2","0","0"
"Winn, Cole",668390,2024,18,14,4,"15","0","0","52","0","0","0","3","0","0"
"Sabrowski, Erik",681870,2024,6,19,4,"0","1","0","38","0","0","0","0","0","0"
"Kittredge, Andrew",552640,2024,60,67,20,"22","1","7","212","5","0","0","0","37","0"
"Irvin, Cole",608344,2024,132,78,29,"63","1","0","333","6","0","4","6","1","0"
"Kerr, Ray",678061,2024,29,27,7,"14","0","0","67","1","0","0","3","0","0"
"Maciejewski, Josh",656671,2024,4,7,2,"2","0","0","21","0","0","0","0","0","0"
"Thornton, Trent",663423,2024,63,77,19,"29","1","0","217","4","0","0","5","10","1"
"Chapman, Aroldis",547973,2024,44,98,38,"26","14","5","185","5","2","0","2","22","5"
"Aldegheri, Sam",691951,2024,15,10,10,"7","0","0","39","1","0","1","2","0","0"
"Rea, Colin",607067,2024,169,135,43,"80","1","0","503","12","0","8","10","1","2"
"Palencia, Daniel",694037,2024,14,16,12,"10","1","0","44","0","0","0","1","0","0"
"Paredes, Enoli",660600,2024,13,16,10,"4","1","0","65","1","0","0","2","3","0"
"Miller, Bobby",676272,2024,69,52,30,"53","0","0","168","2","0","2","2","0","0"
"Wilson, Justin",458677,2024,55,51,13,"29","2","2","140","1","0","0","2","11","2"
"Hjelle, Sean",663546,2024,84,75,14,"35","0","0","242","3","0","0","5","7","0"
"Buchanan, David",571527,2024,2,1,2,"1","0","0","10","0","0","0","0","0","0"
"Lyles, Jordan",543475,2024,2,3,2,"0","0","0","15","0","0","0","0","0","0"
"La Sorsa, Joe",686747,2024,17,14,5,"9","0","0","53","0","0","0","1","0","1"
