"last_name, first_name","player_id","year","hit","strikeout","walk","p_earned_run","p_save","p_blown_save","p_out","p_win","p_balk","p_quality_start","p_hit_by_pitch","p_hold","p_total_pickoff"
"Uceta, Edwin",670955,2024,26,57,8,"7","5","0","125","2","0","0","1","7","0"
"Wesneski, Hayden",669713,2024,56,67,21,"29","0","1","203","3","1","3","2","2","0"
"Bermudez, Jonathan",642834,2024,11,4,2,"6","0","0","20","0","0","0","2","0","0"
"Mears, Nick",683232,2024,61,75,24,"38","0","2","173","1","0","0","0","14","0"
"Baz, Shane",669358,2024,57,69,27,"27","0","0","238","4","0","8","4","0","1"
"Farmer, Buck",571656,2024,56,70,29,"24","1","1","213","3","0","0","7","1","0"
"Morgan, Eli",669212,2024,30,34,11,"9","0","0","126","3","0","0","1","3","0"
"Arrighetti, Spencer",681293,2024,139,171,65,"73","0","0","435","7","0","10","7","0","1"
"Greene, Hunter",668881,2024,96,169,57,"46","0","0","451","9","1","13","19","0","2"
"Woods Richardson, Simeon",680573,2024,125,117,48,"62","0","0","401","5","0","7","3","0","1"
"Avila, Pedro",658648,2024,73,82,36,"35","1","0","248","6","0","0","4","1","0"
"Brebbia, John",605154,2024,56,67,19,"36","2","3","166","0","0","0","3","14","0"
"Leibrandt, Brandon",605335,2024,11,5,2,"7","0","0","19","0","0","0","0","0","0"
"Boyd, Matthew",571510,2024,32,46,13,"12","0","0","119","2","1","3","2","0","1"
"Luzardo, Jesús",666200,2024,61,58,22,"37","0","0","200","3","0","4","2","0","1"
"Jax, Griffin",643377,2024,47,95,15,"16","10","6","213","5","0","0","2","24","1"
"Gilbert, Logan",669302,2024,148,220,37,"75","0","0","626","9","0","22","4","0","1"
"Martinez, Nick",607259,2024,128,116,18,"49","0","0","427","10","0","6","5","7","2"
"Marte, Yunior",628708,2024,34,23,15,"20","0","1","78","0","0","0","0","2","0"
"Casparius, Ben",676508,2024,9,12,4,"2","0","0","25","2","0","0","0","0","0"
"Blewett, Scott",656240,2024,17,18,8,"4","0","0","61","1","0","0","1","0","0"
"Cortes Jr., Nestor",641482,2024,162,162,39,"73","0","0","523","9","1","13","4","0","4"
"Dunshee, Parker",670161,2024,4,3,2,"5","0","0","7","0","0","0","1","0","0"
"Shaw, Bryan",543766,2024,8,4,4,"4","0","1","12","0","0","0","0","0","0"
"Bukauskas, J.B.",656266,2024,3,6,1,"1","0","0","18","0","0","0","0","2","0"
"Staumont, Josh",622251,2024,17,18,14,"10","0","0","73","1","0","0","1","1","0"
"Kikuchi, Yusei",579328,2024,167,206,44,"79","0","0","527","9","0","12","2","0","0"
"Burke, Brock",656271,2024,37,41,16,"22","0","1","102","2","0","0","2","1","0"
"Senga, Kodai",673540,2024,2,9,1,"2","0","0","16","1","0","0","1","0","0"
"Winckowski, Josh",670174,2024,81,60,26,"35","2","1","228","4","0","0","4","4","0"
"Estévez, Carlos",608032,2024,38,50,12,"15","26","5","165","4","0","0","1","0","0"
"Castillo, Luis",622491,2024,158,175,47,"71","0","0","526","11","0","18","5","0","0"
"Lorenzen, Michael",547179,2024,101,97,59,"48","0","0","391","7","0","9","6","0","0"
"Lange, Alex",656638,2024,16,21,17,"9","2","0","56","0","0","0","2","1","0"
"Houck, Tanner",656557,2024,156,154,48,"62","0","0","536","9","0","19","16","0","0"
"White, Mitch",669952,2024,26,13,13,"19","0","0","71","1","0","0","1","0","0"
"Rosenberg, Kenny",670046,2024,28,17,8,"16","0","0","72","0","0","0","0","0","1"
"Junk, Janson",676083,2024,22,8,4,"13","0","0","24","0","0","0","0","0","0"
"Booser, Cam",592155,2024,41,43,16,"16","1","2","128","2","0","0","0","6","0"
"Graceffo, Gordon",700669,2024,7,6,2,"4","0","0","23","0","0","0","0","0","0"
"Bazardo, Eduard",660825,2024,20,33,9,"15","0","0","83","2","0","0","0","0","0"
"Bello, Brayan",678394,2024,157,153,64,"81","0","0","487","14","1","10","11","0","1"
"Dana, Caden",702674,2024,14,8,7,"11","0","0","31","1","0","1","1","0","0"
"Muller, Kyle",666205,2024,48,36,10,"22","0","0","148","0","0","0","1","0","1"
"Gallen, Zac",668678,2024,133,156,54,"60","0","0","444","14","0","12","4","0","0"
"Pinto, Ricardo",620982,2024,19,8,5,"13","1","0","32","0","0","0","2","0","0"
"Garrett, Amir",607237,2024,4,11,5,"3","0","0","16","0","0","0","0","0","0"
"Muñoz, Roddery",682610,2024,89,70,42,"60","0","0","248","2","1","2","5","0","1"
"Taylor, Troy",700187,2024,15,25,7,"8","1","0","58","0","0","0","0","6","0"
"Martin, Davis",663436,2024,50,47,23,"24","0","0","150","0","0","2","5","0","0"
"Strider, Spencer",675911,2024,10,12,5,"7","0","0","27","0","0","0","0","0","0"
"Roberts, Ethan",681799,2024,31,26,10,"11","0","0","80","1","0","0","1","1","1"
"Bummer, Aaron",607481,2024,61,69,18,"22","0","3","166","4","0","0","2","2","3"
"Altavilla, Dan",656186,2024,5,5,3,"6","0","0","11","0","0","0","1","0","0"
"Kelly, Merrill",518876,2024,67,63,19,"33","0","0","221","5","2","5","2","0","1"
"Díaz, Alexis",664747,2024,42,55,31,"25","28","4","169","2","1","0","6","0","2"
"Stripling, Ross",548389,2024,109,49,22,"57","0","0","256","2","1","2","1","1","1"
"Curtiss, John",595928,2024,6,1,0,"4","0","0","7","0","0","0","0","0","0"
"Eovaldi, Nathan",543135,2024,147,166,42,"72","0","0","512","12","0","16","7","0","0"
"Anderson, Shaun",641312,2024,34,10,1,"15","0","0","49","0","0","0","1","0","0"
"Montero, Rafael",606160,2024,35,23,19,"20","0","3","115","1","0","0","3","10","0"
"Montero, Keider",672456,2024,100,77,31,"52","0","0","295","6","0","4","3","0","0"
"Vásquez, Randy",681190,2024,119,62,29,"53","0","0","294","4","2","6","6","0","0"
"Suarez, Robert",663158,2024,52,59,16,"20","36","6","195","9","0","0","0","1","0"
"Swanson, Erik",657024,2024,36,37,14,"22","0","1","118","2","1","0","1","9","0"
"Chivilli, Angel",683409,2024,31,28,10,"16","1","2","95","2","0","0","1","7","0"
"Pérez, Cionel",672335,2024,47,46,28,"27","2","1","161","2","0","0","5","22","0"
"Jones, Jared",683003,2024,106,132,39,"56","0","0","365","6","0","11","5","0","1"
"Honeywell Jr., Brent",641703,2024,32,18,12,"11","1","1","113","1","1","0","2","1","0"
"Bido, Osvaldo",674370,2024,43,63,26,"24","0","0","190","5","0","4","7","1","0"
"Peguero, Elvis",665625,2024,52,47,27,"17","2","4","154","7","1","0","2","11","0"
"Ribalta, Orlando",687377,2024,10,3,2,"5","0","0","10","0","0","0","1","0","0"
"Cimber, Adam",643256,2024,20,19,14,"19","0","0","73","3","0","0","6","8","1"
"Tinoco, Jesus",622786,2024,27,42,12,"15","3","1","122","1","0","0","3","6","0"
"Miller, Shelby",571946,2024,41,49,13,"28","2","7","167","6","0","0","5","5","0"
"Sewald, Paul",623149,2024,35,43,10,"19","16","4","119","1","0","0","3","1","1"
"Ryan, River",689981,2024,15,18,9,"3","0","0","61","1","0","0","0","0","1"
"Brasier, Ryan",518489,2024,22,25,5,"11","0","2","84","1","0","0","0","6","0"
"Díaz, Edwin",621242,2024,36,84,20,"21","20","7","161","6","0","0","3","2","0"
"Jansen, Kenley",445276,2024,38,62,20,"20","27","4","164","4","2","0","1","0","0"
"Stroman, Marcus",573186,2024,167,113,60,"74","1","0","464","10","0","9","8","0","0"
"Bachar, Lake",669199,2024,10,11,4,"4","0","0","28","0","0","0","0","5","0"
"Jackson, Luke",592426,2024,52,59,26,"30","0","3","159","4","0","0","2","3","0"
"Stephens, Jackson",623451,2024,5,2,1,"1","0","0","10","0","0","0","1","0","0"
"Ashcraft, Graham",668933,2024,89,57,27,"45","0","0","232","5","0","3","6","0","0"
"Kolek, Stephen",663568,2024,59,39,12,"27","0","1","140","3","0","0","3","2","0"
"Mazur, Adam",800049,2024,40,22,21,"28","0","0","101","1","0","1","2","0","1"
"Medina, Luis",665622,2024,43,32,20,"23","0","0","120","2","0","1","1","0","1"
"Brito, Jhony",666745,2024,49,29,10,"20","0","3","131","1","0","0","0","0","0"
"Doval, Camilo",666808,2024,54,78,39,"32","23","5","177","5","0","0","2","5","0"
"Crismatt, Nabil",622503,2024,7,6,0,"2","0","0","21","1","0","0","0","0","0"
"Reynolds, Sean",669308,2024,10,21,5,"1","0","0","33","0","0","0","1","0","0"
"Chafin, Andrew",605177,2024,52,70,31,"22","1","3","169","4","0","0","1","13","0"
"Rodriguez, Yariel",684320,2024,74,85,40,"43","0","0","260","1","2","2","3","0","0"
"Allen, Logan",663531,2024,32,21,10,"17","1","0","84","0","0","0","2","1","0"
"Smith-Shawver, AJ",700363,2024,3,4,2,"0","0","0","13","0","0","0","0","0","0"
"Gutierrez, Vladimir",661269,2024,3,4,2,"3","0","1","12","0","0","0","0","0","0"
"Feyereisen, J.P.",656420,2024,11,9,5,"10","1","0","33","0","0","0","1","0","0"
"Bradford, Cody",674003,2024,64,70,13,"30","0","0","229","6","0","8","1","0","0"
"Helsley, Ryan",664854,2024,50,79,23,"15","49","4","199","7","0","0","0","0","0"
"Alexander, Tyler",641302,2024,110,90,24,"61","0","0","323","6","0","1","5","0","3"
